Name,QuestId,DisplayName,Chapter,RegionId,ActorId,Summary,WindowStart,WindowEnd,CompletionFlag,RewardMask,bRewardsHeartFragment
q.frostcrown.child,q.frostcrown.child,The Elder's Son,5,frostcrown.pass,npc.mountain.child,"The elder's son will not sleep and will not be quiet. There is a lullaby for that, half-remembered.","(Day=1,Hour=6,Minute=0)","(Day=3,Hour=5,Minute=59)",perm.quest.lullaby,None,false
q.thaw.ranch.night,q.thaw.ranch.night,The Night the Herd Was Taken,7,thaw.fields,npc.ranch.younger,Something comes for the herd on the second night. The younger sister has been telling everyone for days.,"(Day=2,Hour=18,Minute=0)","(Day=2,Hour=5,Minute=59)",perm.quest.ranchmask,RanchMask,false
q.thaw.ranch.race,q.thaw.ranch.race,The Elder Sister's Race,7,thaw.fields,npc.ranch.elder,"Beat the elder sister across the ranch, and she will talk about the brother who left for the carnival.","(Day=1,Hour=6,Minute=0)","(Day=3,Hour=5,Minute=59)",perm.quest.ringleader,RingleaderMask,false
q.thaw.dancer,q.thaw.dancer,Steps Nobody Learned,7,thaw.fields,npc.ghost.dancer,"A ghost on a stone in the fields at midnight, still dancing, with nobody left to teach.","(Day=1,Hour=0,Minute=0)","(Day=3,Hour=5,Minute=59)",perm.quest.dancersmask,DancersMask,false
q.thaw.barrow,q.thaw.barrow,The Bone Captain,10,thaw.fields,npc.bone.captain,The captain in the barrow will not stand down for anyone who has not played him to sleep first.,"(Day=1,Hour=6,Minute=0)","(Day=3,Hour=5,Minute=59)",perm.quest.captainshelm,CaptainsHelm,false
q.tidebreak.guitarist,q.tidebreak.guitarist,The Guitarist on the Shore,8,tidebreak.coast,npc.guitarist,"A musician washed up on the beach, still trying to get back to his band. Play for him.","(Day=1,Hour=6,Minute=0)","(Day=3,Hour=5,Minute=59)",perm.quest.tideborn,Tideborn,false
q.tidebreak.eggs,q.tidebreak.eggs,Seven Eggs and a Lab,9,tidebreak.coast,npc.marine.scientist,"Seven eggs scattered between the pirates' hold and the reef, and a tank at the lab to hatch them in.","(Day=1,Hour=6,Minute=0)","(Day=3,Hour=5,Minute=59)",perm.quest.tidecall,None,false
q.tidebreak.band,q.tidebreak.band,The Band Waits,9,tidebreak.coast,npc.band.leader,"The band has not played since their guitarist drowned, and the carnival is in three days.","(Day=3,Hour=18,Minute=0)","(Day=3,Hour=5,Minute=59)",perm.quest.bandreunion,None,true
q.ashen.watcher,q.ashen.watcher,The Watcher on the Road,10,ashen.canyon,npc.watcher,Something calls itself out of the air on the canyon road and asks whether you are worth the climb.,"(Day=1,Hour=6,Minute=0)","(Day=3,Hour=5,Minute=59)",perm.quest.spectremask,SpectreMask,false
q.ashen.well,q.ashen.well,What the Bandaged Thing Is Owed,11,ashen.keep,npc.well.dweller,"A chain of trades down a dry well, each one paid for with something taken from the last.","(Day=1,Hour=6,Minute=0)","(Day=3,Hour=5,Minute=59)",perm.quest.wrappedmask,WrappedMask,false
q.ashen.king,q.ashen.king,The King Still Holds Court,11,ashen.keep,npc.ashen.king,"A king who refused to end his reign, holding court over a kingdom with nobody left in it.","(Day=1,Hour=6,Minute=0)","(Day=3,Hour=5,Minute=59)",perm.quest.ashenking,None,false
q.ashen.music,q.ashen.music,The Music That Holds the Dead,10,ashen.canyon,npc.organist,"Music is what keeps the canyon standing. Find out who has been playing it, and for how long.","(Day=1,Hour=6,Minute=0)","(Day=3,Hour=5,Minute=59)",perm.quest.canyonmusic,None,true
q.moon.children,q.moon.children,Five Children in a Field,13,moon.field,npc.moon.child,"Five children in masks on the moon, each of whom would rather play a game than let you past.","(Day=1,Hour=6,Minute=0)","(Day=3,Hour=5,Minute=59)",perm.quest.moonchildren,Wrath,false
